Country,Year,BEV Percentage (Total Number Of Registrations),BEV (New Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR),Log_BEV Percentage (Total Number Of Registrations),Log_BEV (New Registrations),Log_Recharging Points,Log_GDP,Log_CPI,Log_Available,Log_DC Recharging Speed (km/h),YJ_Purchase price (EUR)
Bulgaria,2012,0.0,0.0,82642.8,2.954568298310172,-2.5,10,29.169521043596298,217.39413911549923,4.0,23.269579724420442,95.0,30469.929999999997,0.0,0.0,2.3978952727983707,11.322295085311378,1.3748714418637649,1.6094379124341003,5.386301407958927,-1.4930844053620678
Bulgaria,2013,0.019612822422216326,1.2239800905693157,82253.4,0.890093540913077,-0.4,12,48.199999999999996,270.00000000000006,8.0,32.9,142.22,30469.929999999997,0.01942296937465859,0.7992984242661236,2.5649493574615367,11.317572162637518,0.6366263203934369,2.1972245773362196,5.602118820879701,-1.4930844053620678
Bulgaria,2014,0.03961030764779805,3.946087443248701,84147.7,-1.418183802648447,0.4,15,22.600000000000005,239.99999999999994,13.0,33.25999999999999,155.77,35555.639999999985,0.03884593874931718,1.598596848532247,2.772588722239781,11.340340750895937,,2.6390573296152584,5.484796933490655,-0.88565742138688
Bulgaria,2015,0.06,10.000000000000002,89571.4,-0.1046332610083839,0.4,18,47.7,381.2499999999999,21.0,56.40999999999999,215.22,42052.00000000004,0.05826890812397577,2.3978952727983707,2.9444389791664403,11.40280251579599,-0.11052188040127683,3.091042453358316,5.946074844809171,0.2778088403931457
Bulgaria,2016,0.049999999999999996,11.0,95349.4,-0.7986498864536767,0.5,22,44.849999999999994,371.50000000000006,23.0,62.48500000000002,269.27,39789.10999999997,0.04879016416943199,2.4849066497880004,3.1354942159291497,11.465313806090558,-1.602710027759711,3.1780538303479458,5.920237037819614,-0.18327089379826644
Bulgaria,2017,0.049999999999999996,12.999999999999996,102683.0,2.061596194431412,1.8,94,47.705882352940996,267.27272727273004,28.0,40.4,221.75,44717.85999999997,0.04879016416943199,2.6390573296152584,4.553876891600541,11.539411590206056,1.1189364121286522,3.367295829986474,5.592004102144579,0.9066685175413296
Bulgaria,2018,0.51,145.0,109525.9,2.814544738248301,-0.1,108,48.714285714286,267.7777777777801,29.0,41.2,216.55,46225.87999999999,0.412109650826833,4.983606621708336,4.6913478822291435,11.603925460169156,1.3388213229492343,3.4011973816621555,5.5938849332738165,1.3066140324564979
Bulgaria,2019,0.5699999999999998,188.00000000000003,119685.9,3.103729447967741,-1.5,145,57.06666666666701,458.9285714285701,34.0,69.48000000000002,300.68,42237.970000000016,0.45107561936021656,5.241747015059643,4.983606621708336,11.692634445289707,1.4118961817109184,3.5553480614894135,6.131071197922922,0.31858354261669347
Bulgaria,2020,1.2399999999999998,276.99999999999994,120979.0,1.672440968557628,-1.8,609,39.325301204819006,403.16455696203013,97.0,57.76144578313298,286.2,38311.38000000003,0.8064758658669484,5.627621113690637,6.413458957167357,11.703380521660906,0.9829922752007532,4.584967478670572,6.001822114242144,-0.45103572356237
Bulgaria,2021,2.24,550.0000000000002,139536.6,3.297744352995085,0.1,1634,40.90434782608699,493.3913043478299,168.0,64.04695652173898,308.73,40745.01000000002,1.1755733298042381,6.311734809152915,7.399398083331354,11.84608937797596,1.4580903159941168,5.1298987149230735,6.203327317695581,0.003736800253886465
Bulgaria,2022,3.5600000000000005,1021.0000000000001,168354.3,15.32525892643667,1.1,3322,49.31481481481501,594.2592592592601,253.0,73.78703703703697,345.44,43874.27000000001,1.5173226235262949,6.92951677076365,8.108623268354595,12.033831906125155,2.7927135357679043,5.537334267018537,6.388997040490443,0.6971592583048458
Bulgaria,2023,4.9,1753.9999999999995,184875.0,9.442841400885662,1.1,5338,70.30769230769201,649.2307692307699,371.0,79.230769230769,361.7945214093807,45999.05000000002,1.7749523509116738,7.470224135899966,8.582793648500186,12.127440609058647,2.3459167102601537,5.918893854273146,6.477327329467392,1.2443231316336583
Bulgaria,2024,3.96,1664.9999999999993,204906.9,2.446519430060781,1.1,10290,84.21975370048266,711.4345658618294,580.1958722522671,85.05352762209984,378.9233317561453,45999.05000000002,1.601405740736836,7.418180822726788,9.239025005836092,12.230315888876625,1.2373648609486794,6.365087829558497,6.568688070538588,1.2443231316336583
Croatia,2011,0.0,0.0,45178.9,2.272727272727254,-4.0,1,17.499999999999996,174.99999999999991,4.0,16.375,95.0,30469.929999999997,0.0,0.0,0.6931471805599453,10.718407576650797,1.1856236656577337,1.6094379124341003,5.170483995038151,-1.4930844053620678
Croatia,2012,0.0,0.0,44791.5,3.412073490813648,-3.3,3,29.169521043596298,217.39413911549923,4.0,23.269579724420442,95.0,30469.929999999997,0.0,0.0,1.3862943611198906,10.709795993674053,1.4843447582819145,1.6094379124341003,5.386301407958927,-1.4930844053620678
Croatia,2013,0.009950493836207795,2.872983346207417,45061.5,2.216582064297766,-3.1,8,48.199999999999996,270.00000000000006,8.0,32.9,142.22,30469.929999999997,0.009901313648089856,1.354025100551105,2.1972245773362196,10.715805694027305,1.1683193250823203,2.1972245773362196,5.602118820879701,-1.4930844053620678
Croatia,2014,0.02,14.0,44867.9,-0.2151961595762623,2.6,26,22.600000000000005,239.99999999999994,13.0,33.25999999999999,155.77,35555.639999999985,0.019802627296179712,2.70805020110221,3.295836866004329,10.7115001834032,-0.24232147723666522,2.6390573296152584,5.484796933490655,-0.88565742138688
Croatia,2015,0.09,70.0,45965.7,-0.464499004644924,1.0,77,47.7,381.2499999999999,21.0,56.40999999999999,215.22,42052.00000000004,0.08617769624105233,4.2626798770413155,4.356708826689592,10.735672500276182,-0.6245525303564233,3.091042453358316,5.946074844809171,0.2778088403931457
Croatia,2016,0.049999999999999996,45.0,47565.9,-1.125,-0.5,232,44.849999999999994,371.50000000000006,23.0,62.48500000000002,269.27,39789.10999999997,0.04879016416943199,3.828641396489095,5.4510384535657,10.769892420180723,,3.1780538303479458,5.920237037819614,-0.18327089379826644
Croatia,2017,0.009999999999999998,6.999999999999998,49732.5,1.129372102823444,1.2,436,47.705882352940996,267.27272727273004,28.0,40.4,221.75,44717.85999999997,0.009950330853168082,2.0794415416798357,6.07993319509559,10.814434029284508,0.7558271488561514,3.367295829986474,5.592004102144579,0.9066685175413296
Croatia,2018,0.09,129.99999999999994,52216.7,1.500125010417555,0.8,569,48.714285714286,267.7777777777801,29.0,41.2,216.55,46225.87999999999,0.08617769624105233,4.875197323201151,6.345636360828596,10.863176796855713,0.9163407347910104,3.4011973816621555,5.5938849332738165,1.3066140324564979
Croatia,2019,0.16000000000000003,239.99999999999994,54905.5,0.7718203464980374,1.8,146,57.06666666666701,458.9285714285701,34.0,69.48000000000002,300.68,42237.970000000016,0.14842000511827333,5.484796933490655,4.990432586778736,10.91338701757485,0.5720074624483368,3.5553480614894135,6.131071197922922,0.31858354261669347
Croatia,2020,1.48,533.0000000000001,50744.0,0.154811374562112,-1.4,1148,39.325301204819006,403.16455696203013,97.0,57.76144578313298,286.2,38311.38000000003,0.9082585601768908,6.280395838960195,7.046647277848756,10.834568369882918,0.1439370185694536,4.584967478670572,6.001822114242144,-0.45103572356237
Croatia,2021,3.01,1351.0000000000005,58343.1,2.554506996420369,1.6,3514,40.90434782608699,493.3913043478299,168.0,64.04695652173898,308.73,40745.01000000002,1.3887912413184778,7.20934025660291,8.164794804244766,10.974113518634903,1.2682163747130395,5.1298987149230735,6.203327317695581,0.003736800253886465
Croatia,2022,3.04,1305.0,67613.0,10.78058067586863,1.9,3725,49.31481481481501,594.2592592592601,253.0,73.78703703703697,345.44,43874.27000000001,1.3962446919730587,7.174724309836376,8.223090551161533,11.121570341180405,2.4664524703760184,5.537334267018537,6.388997040490443,0.6971592583048458
Croatia,2023,2.8699999999999997,1616.9999999999995,79186.3,7.941281775868271,1.7,4792,70.30769230769201,649.2307692307699,371.0,79.230769230769,361.7945214093807,45999.05000000002,1.3532545070416904,7.388946097618437,8.474911799159631,11.279571211409161,2.1906789542849197,5.918893854273146,6.477327329467392,1.2443231316336583
Croatia,2024,2.76,1793.0,85905.2,2.972004776436221,5.6,6380,84.21975370048266,711.4345658618294,580.1958722522671,85.05352762209984,378.9233317561453,45999.05000000002,1.324418957401803,7.492203042618741,8.761080103868347,11.361011282317659,1.3792709487089456,6.365087829558497,6.568688070538588,1.2443231316336583
Cyprus,2011,0.0,0.0,19858.1,3.28944939564209,0.3,36,17.499999999999996,174.99999999999991,4.0,16.375,95.0,30469.929999999997,0.0,0.0,3.6109179126442243,9.896417619351764,1.4561583786986976,1.6094379124341003,5.170483995038151,-1.4930844053620678
Cyprus,2012,0.0,0.0,19495.4,2.389054100423183,-3.5,36,29.169521043596298,217.39413911549923,4.0,23.269579724420442,95.0,30469.929999999997,0.0,0.0,3.6109179126442243,9.877985112123705,1.2205508560334037,1.6094379124341003,5.386301407958927,-1.4930844053620678
Cyprus,2013,0.04003143348612152,1.1657367706679937,18040.3,-0.3993576764643791,-5.6,36,48.199999999999996,270.00000000000006,8.0,32.9,142.22,30469.929999999997,0.0392509372024162,0.772760613339579,3.6109179126442243,9.800418853104524,-0.5097556571584357,2.1972245773362196,5.602118820879701,-1.4930844053620678
Cyprus,2014,0.0816653826391968,3.6904157598234297,17482.8,-1.354988854463165,-2.0,36,22.600000000000005,239.99999999999994,13.0,33.25999999999999,155.77,35555.639999999985,0.07850187440483239,1.545521226679158,3.6109179126442243,9.76903001688781,,2.6390573296152584,5.484796933490655,-0.88565742138688
Cyprus,2015,0.124965998458558,9.158205880770259,17944.2,-2.096997690531131,1.6,36,47.7,381.2499999999999,21.0,56.40999999999999,215.22,42052.00000000004,0.1177528116072486,2.318281840018737,3.6109179126442243,9.795077948685385,,3.091042453358316,5.946074844809171,0.2778088403931457
Cyprus,2016,0.17000000000000004,21.000000000000004,19013.8,-1.42916666666665,4.7,36,44.849999999999994,371.50000000000006,23.0,62.48500000000002,269.27,39789.10999999997,0.15700374880966478,3.091042453358316,3.6109179126442243,9.85297290229495,,3.1780538303479458,5.920237037819614,-0.18327089379826644
