Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR)
Hungary,2023,5.66,"75,292,668.00",17.12496596787367,0.7,13285.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Hungary,2024,7.04,"81,447,664.00",3.703703703703673,0.0,15603.0,,,,,,
Hungary,2025,8.36,,4.41198445905565,,,,,,,,
Ireland,2020,4.46,"381,728.70",-0.3261836512800592,-2.5,3900.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Ireland,2021,8.32,"448,445.10",2.340341134470464,6.6,3693.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Ireland,2022,14.91,"520,718.40",7.82945736434107,6.9,6207.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Ireland,2023,18.77,"524,728.80",6.299424874191223,3.5,10475.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Ireland,2024,14.39,"562,794.20",2.113449995773188,2.7,12933.0,,,,,,
Ireland,2025,18.89,,2.210447884758571,,,,,,,,
Italy,2020,2.35,"1,670,011.90",-0.1377075739165006,-2.0,37379.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Italy,2021,4.62,"1,842,507.40",1.87378325762482,1.0,72042.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Italy,2022,3.75,"1,998,072.60",8.201289911617138,1.9,104936.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Italy,2023,4.23,"2,142,601.70",5.622194421959058,2.1,152565.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Italy,2024,4.25,"2,199,619.40",0.9823730230613804,1.6,203138.0,,,,,,
Italy,2025,6.18,,1.531668276528218,,,,,,,,
Latvia,2020,2.14,"29,224.30",0.2190649048421137,-0.7,744.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Latvia,2021,2.94,"32,283.80",3.275829374311562,-1.3,1223.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Latvia,2022,6.38,"36,088.70",17.3102830198815,0.2,1816.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Latvia,2023,9.48,"39,564.20",8.938046233166386,1.8,2034.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Latvia,2024,7.52,"40,359.40",1.265798858287292,-1.5,3751.0,,,,,,
Latvia,2025,7.05,,3.745773167519397,,,,,,,,
Lithuania,2020,1.13,"50,264.60",1.199894449835678,-1.6,468.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Lithuania,2021,3.61,"56,709.10",4.683544209034547,1.3,503.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Lithuania,2022,5.16,"67,081.10",19.70504615183938,5.0,1066.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Lithuania,2023,7.4,"74,317.00",9.117319623904732,1.4,3837.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Lithuania,2024,6.65,"78,996.20",0.7157358352286965,1.5,9864.0,,,,,,
Lithuania,2025,6.99,,3.791705108604704,,,,,,,,
Luxembourg,2020,5.59,"64,499.20",0.819957302127018,1.8,3824.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Luxembourg,2021,10.56,"73,039.50",2.526920090661688,2.9,5194.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Luxembourg,2022,15.82,"76,731.20",6.336008077779127,3.3,6335.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Luxembourg,2023,23.15,"82,115.50",3.741403619831411,1.9,9542.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Luxembourg,2024,27.37,"86,180.30",2.051132699548584,1.0,9406.0,,,,,,
Luxembourg,2025,27.09,,,,,,,,,,
Malta,2020,1.23,"14,362.40",0.6385449567766467,3.2,390.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Malta,2021,1.5,"16,689.90",1.497892179347314,3.0,386.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
