Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR),Log_BEV Percentage (Total Number Of Registrations),Log_Recharging Points,Log_GDP,Log_CPI,Log_EG,Log_Available,Log_AC Recharging Speed (km/h)
Estonia,2024,5.2,39847.7,3.520560532965817,0.2,3366.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,1.824549292051046,8.121777419161074,10.59284506135249,1.5086359978734234,0.18232155679395465,6.314133279515715,4.534493983900053
Estonia,2025,6.74,41400.2199359118,4.828044382801662,0.0125,10262.641304347826,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,2.046401687601636,9.23636295871948,10.63106562643027,1.7626815037469366,0.012422519998557155,6.709659968072142,4.802766936988945
Finland,2020,4.4,236387.0,0.2905545556533039,-2.3,11232.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,1.6863989535702288,9.326611153641569,12.373229801804356,0.2550720141014995,,4.584967478670572,3.696979093414722
Finland,2021,10.31,248764.0,2.194574323400038,2.3,16646.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,2.425687290128029,9.719985298994011,12.424263954710314,1.1614538468406477,1.1939224684724346,5.1298987149230735,3.7353895882770836
Finland,2022,17.79,266135.0,7.123507733014013,3.5,20172.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,2.933324813425374,9.912100355634351,12.491762735301162,2.0947620477185267,1.5040773967762742,5.537334267018537,3.918299562862077
Finland,2023,33.91,272848.0,6.250643221547617,0.9,38263.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,3.5527733211169448,10.552264785360133,12.516673807590253,1.9810901851446425,0.6418538861723948,5.918893854273146,4.267004208104314
Finland,2024,29.53,275963.0,1.565689062316196,-1.1,57625.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,3.4187098067467865,10.961729133727554,12.528025701409323,0.9422270828246129,,6.314133279515715,4.534493983900053
Finland,2025,36.81,279113.562749223,0.3378746594005995,1.3444444444444446,86784.63855421687,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,3.6325736179028416,11.37119643251484,12.539377595695363,0.2910822797399911,0.8520484631458015,6.709659968072142,4.802766936988945
France,2020,6.72,2318276.2,0.4764988527250138,-0.1,,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,2.0438143640366846,,14.656334881581888,0.3896736451781817,-0.10536051565782631,4.584967478670572,3.696979093414722
France,2021,9.77,2508102.3,1.642331410383928,2.6,105567.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,2.3767644911682972,11.567110574028307,14.735037368084505,0.9716616374399285,1.2809338454620642,5.1298987149230735,3.7353895882770836
